Date,Hour,Imports,Exports
11-Jan-14,6,112,"2,149"
11-Jan-14,7,147,"1,913"
11-Jan-14,8,307,"1,349"
11-Jan-14,9,231,"1,139"
11-Jan-14,10,327,"1,420"
11-Jan-14,11,731,"1,649"
11-Jan-14,12,711,"1,679"
11-Jan-14,13,466,"1,397"
11-Jan-14,14,385,"1,210"
11-Jan-14,15,483,"1,483"
11-Jan-14,16,619,"1,470"
11-Jan-14,17,713,"1,477"
11-Jan-14,18,854,"1,320"
11-Jan-14,19,797,"1,504"
11-Jan-14,20,235,"1,378"
11-Jan-14,21,185,"1,527"
11-Jan-14,22,181,"1,544"
11-Jan-14,23,131,"1,827"
11-Jan-14,24,259,"1,903"
12-Jan-14,1,112,"2,206"
12-Jan-14,2,112,"2,720"
12-Jan-14,3,112,"2,807"
12-Jan-14,4,112,"3,013"
12-Jan-14,5,112,"2,726"
12-Jan-14,6,112,"2,723"
12-Jan-14,7,0,"2,100"
12-Jan-14,8,0,"2,220"
12-Jan-14,9,0,"1,815"
12-Jan-14,10,132,"1,368"
12-Jan-14,11,217,"1,306"
12-Jan-14,12,172,"1,143"
12-Jan-14,13,132,"1,162"
12-Jan-14,14,132,"1,401"
12-Jan-14,15,132,"1,511"
12-Jan-14,16,132,"2,026"
12-Jan-14,17,133,"1,295"
12-Jan-14,18,773,"1,307"
12-Jan-14,19,601,"1,287"
12-Jan-14,20,307,"1,253"
12-Jan-14,21,347,"1,361"
12-Jan-14,22,260,"1,278"
12-Jan-14,23,132,"1,674"
12-Jan-14,24,259,"2,208"
13-Jan-14,1,108,"2,704"
13-Jan-14,2,108,"2,767"
13-Jan-14,3,108,"2,727"
13-Jan-14,4,51,"2,258"
13-Jan-14,5,34,"2,614"
13-Jan-14,6,147,"2,137"
13-Jan-14,7,147,"1,437"
13-Jan-14,8,637,"1,304"
13-Jan-14,9,579,"1,305"
13-Jan-14,10,527,"1,332"
13-Jan-14,11,457,"1,494"
13-Jan-14,12,132,"1,627"
13-Jan-14,13,233,"1,928"
13-Jan-14,14,132,"2,324"
13-Jan-14,15,178,"2,650"
13-Jan-14,16,132,"2,331"
13-Jan-14,17,340,"1,874"
13-Jan-14,18,542,"1,605"
13-Jan-14,19,403,"1,615"
13-Jan-14,20,350,"1,700"
13-Jan-14,21,232,"1,717"
13-Jan-14,22,295,"1,081"
13-Jan-14,23,519,"1,282"
13-Jan-14,24,255,"1,502"
14-Jan-14,1,629,"1,695"
14-Jan-14,2,0,"1,499"
14-Jan-14,3,0,"2,207"
14-Jan-14,4,0,"2,082"
14-Jan-14,5,50,"2,212"
14-Jan-14,6,147,"2,208"
14-Jan-14,7,197,"1,591"
14-Jan-14,8,358,"1,539"
14-Jan-14,9,269,"1,575"
14-Jan-14,10,240,"1,342"
14-Jan-14,11,431,"1,205"
14-Jan-14,12,340,"1,295"
14-Jan-14,13,180,"1,233"
14-Jan-14,14,140,"1,366"
14-Jan-14,15,165,"1,545"
14-Jan-14,16,140,"1,542"
14-Jan-14,17,800,"1,447"
14-Jan-14,18,"1,366","1,426"
14-Jan-14,19,"1,245","1,492"
14-Jan-14,20,"1,158","1,442"
14-Jan-14,21,258,"1,004"
14-Jan-14,22,540,"1,031"
14-Jan-14,23,369,"1,038"
14-Jan-14,24,355,"1,323"
15-Jan-14,1,339,"1,777"
15-Jan-14,2,50,"1,822"
15-Jan-14,3,126,"1,825"
15-Jan-14,4,118,"1,808"
15-Jan-14,5,50,"1,955"
15-Jan-14,6,108,"1,968"
15-Jan-14,7,583,"1,821"
15-Jan-14,8,158,735
15-Jan-14,9,983,"1,370"
15-Jan-14,10,908,"1,418"
15-Jan-14,11,603,"1,481"
15-Jan-14,12,747,"1,585"
15-Jan-14,13,219,"1,657"
15-Jan-14,14,158,"1,846"
15-Jan-14,15,158,"2,096"
15-Jan-14,16,158,"2,116"
15-Jan-14,17,408,"1,566"
15-Jan-14,18,714,"1,436"
15-Jan-14,19,882,"1,314"
15-Jan-14,20,797,"1,378"
15-Jan-14,21,510,"1,421"
15-Jan-14,22,248,"1,167"
15-Jan-14,23,296,839
